Images\trainX_0.tif SegmentationClass\trainX_0.png
Images\trainX_1.tif SegmentationClass\trainX_1.png
Images\trainX_10.tif SegmentationClass\trainX_10.png
Images\trainX_100.tif SegmentationClass\trainX_100.png
Images\trainX_1000.tif SegmentationClass\trainX_1000.png
Images\trainX_1001.tif SegmentationClass\trainX_1001.png
Images\trainX_1002.tif SegmentationClass\trainX_1002.png
Images\trainX_1003.tif SegmentationClass\trainX_1003.png
Images\trainX_1004.tif SegmentationClass\trainX_1004.png
Images\trainX_1005.tif SegmentationClass\trainX_1005.png
Images\trainX_1006.tif SegmentationClass\trainX_1006.png
Images\trainX_1007.tif SegmentationClass\trainX_1007.png
Images\trainX_1008.tif SegmentationClass\trainX_1008.png
Images\trainX_1009.tif SegmentationClass\trainX_1009.png
Images\trainX_101.tif SegmentationClass\trainX_101.png
Images\trainX_1010.tif SegmentationClass\trainX_1010.png
Images\trainX_1011.tif SegmentationClass\trainX_1011.png
Images\trainX_1012.tif SegmentationClass\trainX_1012.png
Images\trainX_1013.tif SegmentationClass\trainX_1013.png
Images\trainX_1014.tif SegmentationClass\trainX_1014.png
Images\trainX_1015.tif SegmentationClass\trainX_1015.png
Images\trainX_1016.tif SegmentationClass\trainX_1016.png
Images\trainX_1017.tif SegmentationClass\trainX_1017.png
Images\trainX_1018.tif SegmentationClass\trainX_1018.png
Images\trainX_1019.tif SegmentationClass\trainX_1019.png
Images\trainX_102.tif SegmentationClass\trainX_102.png
Images\trainX_1020.tif SegmentationClass\trainX_1020.png
Images\trainX_1021.tif SegmentationClass\trainX_1021.png
Images\trainX_1022.tif SegmentationClass\trainX_1022.png
Images\trainX_1023.tif SegmentationClass\trainX_1023.png
Images\trainX_1024.tif SegmentationClass\trainX_1024.png
Images\trainX_1025.tif SegmentationClass\trainX_1025.png
Images\trainX_1026.tif SegmentationClass\trainX_1026.png
Images\trainX_1027.tif SegmentationClass\trainX_1027.png
Images\trainX_1028.tif SegmentationClass\trainX_1028.png
Images\trainX_1029.tif SegmentationClass\trainX_1029.png
Images\trainX_103.tif SegmentationClass\trainX_103.png
Images\trainX_1030.tif SegmentationClass\trainX_1030.png
Images\trainX_1031.tif SegmentationClass\trainX_1031.png
Images\trainX_1032.tif SegmentationClass\trainX_1032.png
Images\trainX_1033.tif SegmentationClass\trainX_1033.png
Images\trainX_1034.tif SegmentationClass\trainX_1034.png
Images\trainX_1035.tif SegmentationClass\trainX_1035.png
Images\trainX_1036.tif SegmentationClass\trainX_1036.png
Images\trainX_1037.tif SegmentationClass\trainX_1037.png
Images\trainX_1038.tif SegmentationClass\trainX_1038.png
Images\trainX_1039.tif SegmentationClass\trainX_1039.png
Images\trainX_104.tif SegmentationClass\trainX_104.png
Images\trainX_1040.tif SegmentationClass\trainX_1040.png
Images\trainX_1041.tif SegmentationClass\trainX_1041.png
Images\trainX_1042.tif SegmentationClass\trainX_1042.png
Images\trainX_1043.tif SegmentationClass\trainX_1043.png
Images\trainX_1044.tif SegmentationClass\trainX_1044.png
Images\trainX_1045.tif SegmentationClass\trainX_1045.png
Images\trainX_1046.tif SegmentationClass\trainX_1046.png
Images\trainX_1047.tif SegmentationClass\trainX_1047.png
Images\trainX_1048.tif SegmentationClass\trainX_1048.png
Images\trainX_1049.tif SegmentationClass\trainX_1049.png
Images\trainX_105.tif SegmentationClass\trainX_105.png
Images\trainX_1050.tif SegmentationClass\trainX_1050.png
Images\trainX_1051.tif SegmentationClass\trainX_1051.png
Images\trainX_1052.tif SegmentationClass\trainX_1052.png
Images\trainX_1053.tif SegmentationClass\trainX_1053.png
Images\trainX_1054.tif SegmentationClass\trainX_1054.png
Images\trainX_1055.tif SegmentationClass\trainX_1055.png
Images\trainX_1056.tif SegmentationClass\trainX_1056.png
Images\trainX_1057.tif SegmentationClass\trainX_1057.png
Images\trainX_1058.tif SegmentationClass\trainX_1058.png
Images\trainX_1059.tif SegmentationClass\trainX_1059.png
Images\trainX_106.tif SegmentationClass\trainX_106.png
Images\trainX_1060.tif SegmentationClass\trainX_1060.png
Images\trainX_1061.tif SegmentationClass\trainX_1061.png
Images\trainX_1062.tif SegmentationClass\trainX_1062.png
Images\trainX_1063.tif SegmentationClass\trainX_1063.png
Images\trainX_1064.tif SegmentationClass\trainX_1064.png
Images\trainX_1065.tif SegmentationClass\trainX_1065.png
Images\trainX_1066.tif SegmentationClass\trainX_1066.png
Images\trainX_1067.tif SegmentationClass\trainX_1067.png
Images\trainX_1068.tif SegmentationClass\trainX_1068.png
Images\trainX_1069.tif SegmentationClass\trainX_1069.png
Images\trainX_107.tif SegmentationClass\trainX_107.png
Images\trainX_1070.tif SegmentationClass\trainX_1070.png
Images\trainX_1071.tif SegmentationClass\trainX_1071.png
Images\trainX_1072.tif SegmentationClass\trainX_1072.png
Images\trainX_1073.tif SegmentationClass\trainX_1073.png
Images\trainX_1074.tif SegmentationClass\trainX_1074.png
Images\trainX_1075.tif SegmentationClass\trainX_1075.png
Images\trainX_1076.tif SegmentationClass\trainX_1076.png
Images\trainX_1077.tif SegmentationClass\trainX_1077.png
Images\trainX_1078.tif SegmentationClass\trainX_1078.png
Images\trainX_1079.tif SegmentationClass\trainX_1079.png
