Images\trainX_0.tif SegmentationClass\trainX_0.png
Images\trainX_1.tif SegmentationClass\trainX_1.png
Images\trainX_10.tif SegmentationClass\trainX_10.png
Images\trainX_1001.tif SegmentationClass\trainX_1001.png
Images\trainX_1002.tif SegmentationClass\trainX_1002.png
Images\trainX_1003.tif SegmentationClass\trainX_1003.png
Images\trainX_1007.tif SegmentationClass\trainX_1007.png
Images\trainX_101.tif SegmentationClass\trainX_101.png
Images\trainX_1012.tif SegmentationClass\trainX_1012.png
Images\trainX_1015.tif SegmentationClass\trainX_1015.png
Images\trainX_1016.tif SegmentationClass\trainX_1016.png
Images\trainX_1018.tif SegmentationClass\trainX_1018.png
Images\trainX_1020.tif SegmentationClass\trainX_1020.png
Images\trainX_1021.tif SegmentationClass\trainX_1021.png
Images\trainX_1022.tif SegmentationClass\trainX_1022.png
Images\trainX_1024.tif SegmentationClass\trainX_1024.png
Images\trainX_1025.tif SegmentationClass\trainX_1025.png
Images\trainX_1028.tif SegmentationClass\trainX_1028.png
Images\trainX_103.tif SegmentationClass\trainX_103.png
Images\trainX_1030.tif SegmentationClass\trainX_1030.png
Images\trainX_1031.tif SegmentationClass\trainX_1031.png
Images\trainX_1032.tif SegmentationClass\trainX_1032.png
Images\trainX_1033.tif SegmentationClass\trainX_1033.png
Images\trainX_1036.tif SegmentationClass\trainX_1036.png
Images\trainX_1037.tif SegmentationClass\trainX_1037.png
Images\trainX_1038.tif SegmentationClass\trainX_1038.png
Images\trainX_1039.tif SegmentationClass\trainX_1039.png
Images\trainX_104.tif SegmentationClass\trainX_104.png
Images\trainX_1042.tif SegmentationClass\trainX_1042.png
Images\trainX_1044.tif SegmentationClass\trainX_1044.png
Images\trainX_1045.tif SegmentationClass\trainX_1045.png
Images\trainX_1047.tif SegmentationClass\trainX_1047.png
Images\trainX_1048.tif SegmentationClass\trainX_1048.png
Images\trainX_1049.tif SegmentationClass\trainX_1049.png
Images\trainX_1053.tif SegmentationClass\trainX_1053.png
Images\trainX_1056.tif SegmentationClass\trainX_1056.png
Images\trainX_1057.tif SegmentationClass\trainX_1057.png
Images\trainX_1058.tif SegmentationClass\trainX_1058.png
Images\trainX_1059.tif SegmentationClass\trainX_1059.png
Images\trainX_106.tif SegmentationClass\trainX_106.png
Images\trainX_1060.tif SegmentationClass\trainX_1060.png
Images\trainX_1062.tif SegmentationClass\trainX_1062.png
Images\trainX_1063.tif SegmentationClass\trainX_1063.png
Images\trainX_1065.tif SegmentationClass\trainX_1065.png
Images\trainX_1066.tif SegmentationClass\trainX_1066.png
Images\trainX_1067.tif SegmentationClass\trainX_1067.png
Images\trainX_1068.tif SegmentationClass\trainX_1068.png
Images\trainX_1071.tif SegmentationClass\trainX_1071.png
Images\trainX_1072.tif SegmentationClass\trainX_1072.png
Images\trainX_1074.tif SegmentationClass\trainX_1074.png
Images\trainX_108.tif SegmentationClass\trainX_108.png
Images\trainX_1083.tif SegmentationClass\trainX_1083.png
Images\trainX_1084.tif SegmentationClass\trainX_1084.png
Images\trainX_1086.tif SegmentationClass\trainX_1086.png
Images\trainX_1088.tif SegmentationClass\trainX_1088.png
Images\trainX_1089.tif SegmentationClass\trainX_1089.png
Images\trainX_109.tif SegmentationClass\trainX_109.png
Images\trainX_1090.tif SegmentationClass\trainX_1090.png
Images\trainX_1095.tif SegmentationClass\trainX_1095.png
Images\trainX_1096.tif SegmentationClass\trainX_1096.png
Images\trainX_1098.tif SegmentationClass\trainX_1098.png
Images\trainX_1099.tif SegmentationClass\trainX_1099.png
Images\trainX_11.tif SegmentationClass\trainX_11.png
Images\trainX_110.tif SegmentationClass\trainX_110.png
Images\trainX_1101.tif SegmentationClass\trainX_1101.png
Images\trainX_1104.tif SegmentationClass\trainX_1104.png
Images\trainX_1106.tif SegmentationClass\trainX_1106.png
Images\trainX_1107.tif SegmentationClass\trainX_1107.png
Images\trainX_1111.tif SegmentationClass\trainX_1111.png
Images\trainX_1112.tif SegmentationClass\trainX_1112.png
Images\trainX_1113.tif SegmentationClass\trainX_1113.png
Images\trainX_1115.tif SegmentationClass\trainX_1115.png
Images\trainX_1116.tif SegmentationClass\trainX_1116.png
Images\trainX_1117.tif SegmentationClass\trainX_1117.png
Images\trainX_112.tif SegmentationClass\trainX_112.png
Images\trainX_113.tif SegmentationClass\trainX_113.png
Images\trainX_118.tif SegmentationClass\trainX_118.png
Images\trainX_119.tif SegmentationClass\trainX_119.png
Images\trainX_12.tif SegmentationClass\trainX_12.png
Images\trainX_120.tif SegmentationClass\trainX_120.png
Images\trainX_121.tif SegmentationClass\trainX_121.png
Images\trainX_123.tif SegmentationClass\trainX_123.png
Images\trainX_124.tif SegmentationClass\trainX_124.png
Images\trainX_125.tif SegmentationClass\trainX_125.png
Images\trainX_126.tif SegmentationClass\trainX_126.png
Images\trainX_127.tif SegmentationClass\trainX_127.png
Images\trainX_128.tif SegmentationClass\trainX_128.png
Images\trainX_129.tif SegmentationClass\trainX_129.png
Images\trainX_130.tif SegmentationClass\trainX_130.png
Images\trainX_132.tif SegmentationClass\trainX_132.png
Images\trainX_137.tif SegmentationClass\trainX_137.png
Images\trainX_14.tif SegmentationClass\trainX_14.png
